language_old,Languages_Excluding_Spanish,Num_Additional_Languages
"Ingles bíçsico,  aprendido en enseí±anza media y universitaria",English,1
"Ingles bíçsico, 6 aí±os de estudo",English,1
Ingles basico,English,1
ingles basico,English,1
"Ingles basico 
Sin estudios",English,1
Ingles dos veces al dí_a,English,1
ingles durante 3 a;os,English,1
"INGLES DURANTES 5 A;OS EN UNA ACADEMICA PRIVADA
EN LA UNIVISEIDAD COMO CARRERA VOY 3 A;OS",English,1
Ingles en la universidad ,English,1
Ingles estudie en el colegio ,English,1
"Ingles la estudie en escuela, colegio y universidad en promedio unos 15 aí±os 
Francí©s estudi por 2 aí±os
Italiano por 1 aí±o ","English, French, Italian",3
"ingles medio, 5 aí±os.",English,1
ingles nivel basico,English,1
"ingles nivel intermedio 6 aí±os
frances intermedio 1.5 aí±os","English, French",2
Ingles- nivel regular desde el colegio ,English,1
Ingles por 10 aí±os -Francí©s por 3 aí±os  ,"English, French",2
Ingles por 11 a;os ,English,1
Ingles por 2 aí±os ,English,1
Ingles por 3 aí±os,English,1
Ingles por 3 aí±os ,English,1
ingles por 3 aí±os ,English,1
Ingles por 5 aí±os ,English,1
"ingles por 8 aí±os
espaí±ol 20 aí±os","English, Spanish",2
Ingles por siempre ,English,1
Ingles por tres aí±os,English,1
ingles y lo venido estudianso durante 15 aí±os en mi coligio y ahora en la universidad,English,1
"Ingles
9 mese de estudio",English,1
INGLES&gt; 8 years,English,1
"Ingles, 18 aí±os ",English,1
"Ingles, 2 aí±os",English,1
"INGLES, 2 aí±os",English,1
"ingles, 3 aí±os",English,1
"Ingles, 3 aí±os. ",English,1
"ingles, 4 a;os",English,1
"Ingles, 4 aí±os",English,1
"ingles, 5 aí±os",English,1
"Ingles, colegio y universidad, 3 aí±os",English,1
"Ingles, desde la escuela.",English,1
"Ingles, en el colegio y universidad, seria unos 3 aí±os ",English,1
"Ingles, Espanol",English,1
"ingles, toda la secundaria 6 aí±os pero no aprendí_ nada, recií©n hace 1 aí±o estudio vuelvo a estudiar ingles bíæsico y lo entiendo hasta este nivel.",English,1
Ingles. Estudiado por dos aí±os ,English,1
Ingles. Llevo estudiando Ingles alrededor de 10 a;os.,English,1
Ingles... 2 aí±os,English,1
Ingles/ escuela ,English,1
ingles: 10 aí±os,English,1
"Ingles: 10 aí±os
Portuguí©s: 4 meses","English, Portuguese",2
"Ingles: aprendí_ de manera autodidacta desde los 17 aí±os 
Francí©s: 1 aí±o en la universidad ","English, French",2
"Kechwa, Inglí©s","English, Quechua",2
Ninguna,,0
ninguna,,0
NINGUNA,,0
Ninguna ,,0
Ninguna solo castellano ,,0
Ninguna solo el espaí±ol,,0
Ninguna. ,,0
ninguno,,0
Ninguno (Ingles bíçsico),English,1
no hablo otras lenguas,,0
No hablo otras lenguas ,,0
Poco inglí©s dos aí±os,English,1
por ahora ninguna otra lengua.,,0
PortuguíÈs 1 aí±o,Portuguese,1
portuguí©s 2 aí±os ,Portuguese,1
portuguí©s por 2 aí±os.,Portuguese,1
"portuguí©s. 24 meses
inglí©s en mí_ltiples ocasiones pero no lo hablo","Portuguese, English",2
Sí_lo espaí±ol,,0
Solo castellano,,0
Solo Castellano,,0
Solo espaí±ol,,0
solo espaí±ol,,0
Solo espaí±ol ,,0
"Solo hablo espaí±ol, estudio inglí©s para mejorar mis conocimientos y me gusta escuchar la lengua quichua pero nivel muy bíçsico","English, Quechua",2
Solo una,,1
tInggles 6aí±os,English,1
Un poco el inglí©s lo estudio desde los 10 aí±os.,English,1
Una lengua ,,1
